/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_iot_topic_rule_test.go:922:48: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_migrate_test.go:20:28: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_migrate_test.go:21:28: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_migrate_test.go:28:46: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_migrate_test.go:32:46: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_migrate_test.go:39:22: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_migrate_test.go:40:22: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_migrate_test.go:44:38: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_migrate_test.go:45:38: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_firehose_delivery_stream_test.go:121:20: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_kinesis_stream_migrate_test.go:10:26: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:32:26: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:63:18: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:74:18: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:86:20: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:98:16: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:108:15: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:119:16: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:130:14: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:142:13: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:155:14: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:887:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lambda_permission_test.go:1130:31: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_listener_rule_test.go:25:14: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_listener_rule_test.go:26:14: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_listener_rule_test.go:30:14: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_listener_rule_test.go:35:14: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_listener_rule_test.go:3458:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_listener_rule_test.go:3710:9: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_target_group_test.go:71:23: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_target_group_test.go:76:23: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_test.go:72:23: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_lb_test.go:77:23: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_media_store_container_policy_test.go:99:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
